City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Butaritari,KI,3.0707,172.7902,79.27,81,100,14.99,light rain
Imbituba,BR,-28.24,-48.6703,73.85,63,1,13.11,clear sky
Las Vegas,US,36.175,-115.1372,68.18,20,0,14.97,clear sky
Biak,ID,-0.9131,122.8766,76.86,85,83,1.3,broken clouds
Bredasdorp,ZA,-34.5322,20.0403,55.9,84,24,6.64,light rain
Saint George,US,37.1041,-113.5841,62.44,27,0,4.61,clear sky
Port Alfred,ZA,-33.5906,26.891,60.19,82,95,5.99,overcast clouds
Zyryanka,RU,65.75,150.85,13.44,95,100,11.18,overcast clouds
Solnechnyy,RU,50.7214,136.6319,17.26,92,50,4.83,scattered clouds
Vao,NC,-22.6667,167.4833,73.78,69,97,23.15,overcast clouds
Albany,US,42.6001,-73.9662,63.95,36,93,3.0,overcast clouds
Dire Dawa,ET,9.5931,41.8661,72.84,70,56,15.3,broken clouds
Caucaia,BR,-3.7361,-38.6531,84.15,69,75,8.05,broken clouds
Port Hedland,AU,-20.3167,118.5667,71.65,83,0,8.05,clear sky
Semey,KZ,50.4111,80.2275,35.56,49,81,8.28,broken clouds
Bambanglipuro,ID,-7.95,110.2833,78.49,87,100,5.86,overcast clouds
Bulgan,MN,48.8125,103.5347,32.02,79,100,3.87,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,32.02,84,96,12.17,overcast clouds
Porto Novo,BJ,6.4965,2.6036,82.22,67,100,8.21,overcast clouds
Ilulissat,GL,69.2167,-51.1,32.02,69,75,0.0,broken clouds
Luderitz,NA,-26.6481,15.1594,63.21,45,0,28.66,clear sky
Bethel,US,41.3712,-73.414,66.02,42,0,12.66,clear sky
Shingu,JP,33.7333,135.9833,63.5,94,100,0.94,overcast clouds
Tigil,RU,57.8,158.6667,26.53,93,100,2.48,overcast clouds
Gazli,UZ,40.1333,63.45,71.33,34,4,18.92,clear sky
Bathsheba,BB,13.2167,-59.5167,86.61,58,75,21.85,broken clouds
Hobart,AU,-42.8794,147.3294,55.26,89,75,1.01,broken clouds
Taltal,CL,-25.4,-70.4833,66.34,73,3,5.61,clear sky
La Rioja,ES,42.25,-2.5,55.18,67,96,1.95,overcast clouds
Dryden,CA,49.7833,-92.7503,39.49,100,100,11.5,mist
Beringovskiy,RU,63.05,179.3167,10.87,97,83,3.31,broken clouds
Touros,BR,-5.1989,-35.4608,83.28,73,100,14.34,overcast clouds
Cidreira,BR,-30.1811,-50.2056,71.02,66,0,18.32,clear sky
Esperance,AU,-33.8667,121.9,57.04,86,1,12.06,clear sky
Ust-Uda,RU,54.1742,103.0304,25.29,93,100,12.37,snow
Marzuq,YE,14.4,46.4667,73.8,56,6,10.11,clear sky
Vanimo,PG,-2.6741,141.3028,79.03,85,83,4.14,broken clouds
San Pedro,PH,14.35,121.0167,83.43,78,20,6.91,few clouds
Bud,US,39.447,-86.1758,79.32,53,100,19.37,overcast clouds
Gengenbach,DE,48.4,8.0167,51.51,91,100,3.0,overcast clouds
Esmeralda,CU,21.8525,-78.1169,86.11,50,88,15.84,overcast clouds
Mamakan,RU,57.8161,114.0028,27.09,93,100,4.14,overcast clouds
Mount Pleasant,US,32.7941,-79.8626,81.18,52,0,5.75,clear sky
Portland,US,45.5234,-122.6762,58.6,68,20,5.75,few clouds
Half Moon Bay,US,37.4636,-122.4286,63.54,80,75,6.91,mist
Cranbrook,CA,49.4999,-115.7688,44.44,61,20,5.75,few clouds
Kjollefjord,NO,70.9457,27.3465,37.45,87,75,12.66,broken clouds
Arman,RU,59.7,150.1667,16.02,81,28,9.15,scattered clouds
Talnakh,RU,69.4865,88.3972,-5.44,100,59,1.39,broken clouds
Peniche,PT,39.3558,-9.3811,66.07,78,27,7.02,scattered clouds
Sinnamary,GF,5.3833,-52.95,81.61,81,80,9.24,broken clouds
Paragould,US,36.0584,-90.4973,75.13,83,100,1.01,overcast clouds
Altayskoye,RU,51.9533,85.3325,29.71,77,7,2.66,clear sky
Garowe,SO,8.4054,48.4845,86.79,38,37,17.54,scattered clouds
Antofagasta,CL,-23.65,-70.4,72.21,49,8,6.62,clear sky
Singkang,MY,2.1006,102.7994,76.35,95,76,2.84,broken clouds
Maragogi,BR,-9.0122,-35.2225,83.25,66,92,9.73,overcast clouds
Ixtapa,MX,20.7,-105.2,88.99,23,0,6.15,clear sky
Carnarvon,AU,-24.8667,113.6333,66.27,94,2,4.61,clear sky
Camacari,BR,-12.6975,-38.3242,87.57,61,13,8.63,few clouds
Batagay,RU,67.6333,134.6333,-0.51,100,89,1.14,overcast clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,64,6,17.25,clear sky
Busayra,JO,30.7376,35.6078,67.51,44,9,8.59,clear sky
Miragoane,HT,18.4423,-73.0876,78.42,71,100,2.26,overcast clouds
Hwange,ZW,-18.3693,26.5019,71.44,66,49,0.89,scattered clouds
Saint-Joseph,RE,-21.3667,55.6167,73.78,77,98,14.83,light rain
Bakel,SN,14.905,-12.4568,106.09,8,5,8.7,clear sky
Dombarovskiy,RU,50.7587,59.5386,44.47,46,42,8.23,scattered clouds
Hun,LY,29.1268,15.9477,82.15,8,2,1.88,clear sky
Coahuayana,MX,18.7333,-103.6833,87.85,32,22,6.42,few clouds
Geraldton,AU,-28.7667,114.6,59.41,72,98,0.0,overcast clouds
Ulaangom,MN,49.9811,92.0667,29.8,39,32,1.66,scattered clouds
Chuy,UY,-33.6971,-53.4616,74.23,35,0,11.01,clear sky
Miraflores,MX,19.2167,-98.8083,72.03,34,1,2.89,clear sky
Otradnoye,RU,59.7775,30.8181,46.45,81,100,10.56,overcast clouds
Igarka,RU,67.4667,86.5833,-7.49,100,62,4.59,broken clouds
Urucara,BR,-2.5364,-57.76,85.78,67,69,5.91,broken clouds
Baykit,RU,61.67,96.37,29.7,96,100,3.78,overcast clouds
Avarua,CK,-21.2078,-159.775,77.05,88,67,5.75,broken clouds
Omboue,GA,-1.5746,9.2618,77.63,88,97,6.06,light rain
Barbastro,ES,42.0356,0.1269,68.18,48,36,14.79,scattered clouds
Katsuura,JP,35.1333,140.3,62.51,89,100,4.85,light rain
Savannah Bight,HN,16.45,-85.85,80.8,75,2,11.41,clear sky
Norman Wells,CA,65.282,-126.8329,41.04,52,20,11.5,few clouds
Ust-Kulom,RU,61.6864,53.6902,36.01,99,99,2.95,overcast clouds
Fortuna,US,40.5982,-124.1573,52.93,83,100,1.01,overcast clouds
Ati,TD,13.2154,18.3353,97.9,9,28,5.7,scattered clouds
Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,84.67,81,100,4.05,moderate rain
Izhmorskiy,RU,56.194,86.6414,27.07,88,94,5.32,overcast clouds
Matara,LK,5.9485,80.5353,79.18,87,16,0.76,few clouds
Camapua,BR,-19.5314,-54.0439,92.91,32,74,10.22,broken clouds
Athabasca,CA,54.7169,-113.2854,48.61,64,2,10.0,clear sky
Haines Junction,CA,60.7522,-137.5108,35.55,75,100,0.0,overcast clouds
Prince Rupert,CA,54.3161,-130.3201,44.69,93,100,25.32,overcast clouds
Kutum,SD,14.2,24.6667,86.47,8,33,5.08,scattered clouds
Nouadhibou,MR,20.931,-17.0347,73.38,60,0,16.11,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,14.0,85,0,3.44,clear sky
Ngunguru,NZ,-35.6167,174.5,60.82,82,56,9.91,broken clouds
Tarrafal,CV,15.2833,-23.7667,88.59,74,18,14.97,few clouds
Palmer,US,42.1584,-72.3287,56.82,43,75,8.05,broken clouds
Sakakah,SA,29.9697,40.2064,81.97,46,80,21.45,broken clouds
Coquimbo,CL,-29.9533,-71.3436,56.93,94,100,8.05,light intensity drizzle
Urumqi,CN,43.801,87.6005,49.15,87,75,6.71,broken clouds
Duobao,CN,30.67,112.6895,70.84,98,100,7.58,heavy intensity rain
Poya,NC,-21.35,165.15,70.03,92,83,8.34,broken clouds
Puerto Escondido,MX,15.85,-97.0667,87.66,53,0,7.18,clear sky
Constitucion,CL,-35.3333,-72.4167,60.4,83,94,21.97,overcast clouds
Thinadhoo,MV,0.5333,72.9333,84.9,70,59,9.01,broken clouds
Mogadishu,SO,2.0371,45.3438,83.64,75,89,13.91,overcast clouds
Greystones,IE,53.1408,-6.0631,56.26,70,3,14.36,clear sky
Medea,DZ,36.2642,2.7539,58.44,54,60,5.41,broken clouds
Edinburg,GB,55.9521,-3.1965,52.72,79,40,18.41,scattered clouds
Port Blair,IN,11.6667,92.75,82.44,78,20,2.3,mist
Mattru,SL,7.6244,-11.8332,86.4,68,100,7.23,overcast clouds
Vanavara,RU,60.34,102.2797,25.61,96,98,6.13,overcast clouds
Tornio,FI,65.8481,24.1466,37.42,82,41,4.05,scattered clouds
Upernavik,GL,72.7868,-56.1549,9.91,81,57,11.1,broken clouds
Tiksi,RU,71.6872,128.8694,-5.6,100,99,1.9,overcast clouds
Celestun,MX,20.8667,-90.4,87.62,55,2,3.87,clear sky
Belmonte,BR,-15.8631,-38.8828,84.63,68,15,8.32,few clouds
Georgiyevka,KZ,43.0369,74.7114,53.64,94,75,13.42,broken clouds
Verkhnyaya Inta,RU,65.9811,60.3094,22.44,91,91,3.42,overcast clouds
Acapulco,MX,16.8634,-99.8901,84.02,65,0,8.05,clear sky
Anadyr,RU,64.75,177.4833,14.5,85,0,2.24,clear sky
Bambous Virieux,MU,-20.3428,57.7575,75.45,78,75,14.97,light rain
Sol-Iletsk,RU,51.1631,54.9918,52.36,51,11,6.8,few clouds
Praia Da Vitoria,PT,38.7333,-27.0667,66.45,63,40,21.45,scattered clouds
Am Timan,TD,11.0297,20.2827,95.67,24,66,4.29,broken clouds
Yulara,AU,-25.2406,130.9889,60.64,82,23,8.05,few clouds
Andapa,MG,-14.65,49.65,69.13,99,97,1.36,light rain
Daru,PG,-9.0763,143.2092,78.66,86,100,5.1,overcast clouds
Alta Floresta,BR,-9.8756,-56.0861,87.21,60,83,3.71,broken clouds
Manggar,ID,-2.8833,108.2667,81.66,78,95,5.7,overcast clouds
Sao Francisco Do Sul,BR,-26.2433,-48.6381,76.91,69,40,8.05,scattered clouds
Pachino,IT,36.7186,15.0907,62.98,71,92,14.43,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,61.52,67,100,2.3,overcast clouds
Tres Arroyos,AR,-38.3739,-60.2798,73.6,44,24,16.58,few clouds
Pemangkat,ID,1.1667,108.9667,80.64,81,98,5.93,overcast clouds
Maceio,BR,-9.6658,-35.7353,87.24,54,40,12.66,scattered clouds
Itaituba,BR,-4.2761,-55.9836,91.56,62,20,5.75,few clouds
Bengkulu,ID,-3.8004,102.2655,77.85,88,75,3.31,broken clouds
Sitka,US,57.0531,-135.33,44.49,81,75,0.0,broken clouds
Olafsvik,IS,64.8945,-23.7142,45.28,81,88,6.4,overcast clouds
Atar,MR,20.5169,-13.0499,93.45,17,0,15.57,clear sky
Flinders,AU,-34.5833,150.8552,62.19,90,98,5.01,light rain
Kavaratti,IN,10.5669,72.642,84.85,69,90,2.44,overcast clouds
Nelson Bay,AU,-32.7167,152.15,64.0,96,65,3.22,broken clouds
San Quintin,MX,30.4833,-115.95,68.4,47,0,5.86,clear sky
Bilibino,RU,68.0546,166.4372,-4.34,99,65,5.66,broken clouds
Pangnirtung,CA,66.1451,-65.7125,17.6,62,100,3.44,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,61.09,78,0,13.8,clear sky
Longyearbyen,SJ,78.2186,15.6401,12.04,52,20,10.36,few clouds
Udachnyy,RU,66.4167,112.4,-0.06,98,77,1.88,broken clouds
Hasaki,JP,35.7333,140.8333,59.4,89,100,6.15,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,52.77,83,99,12.08,overcast clouds
Nanortalik,GL,60.1432,-45.2371,38.79,87,83,4.81,broken clouds
Cabo San Lucas,MX,22.8909,-109.9124,80.62,74,0,4.99,clear sky
Trelew,AR,-43.249,-65.3051,71.19,24,89,34.18,overcast clouds
Kavieng,PG,-2.5744,150.7967,81.48,78,52,9.64,light rain
Oranjemund,NA,-28.55,16.4333,56.16,75,0,14.07,clear sky
Peleduy,RU,59.6289,112.7406,24.44,97,100,0.47,overcast clouds
Dingle,PH,10.9995,122.6711,77.27,89,96,6.13,overcast clouds
Jiaojiang,CN,28.6803,121.4428,66.99,96,66,1.86,broken clouds
Arlit,NE,18.7369,7.3853,102.69,6,20,11.7,few clouds
Port Lincoln,AU,-34.7333,135.8667,65.3,79,100,8.34,overcast clouds
Homer,US,59.6425,-151.5483,41.77,93,0,0.0,clear sky
Cherskiy,RU,68.75,161.3,-4.81,100,86,5.21,overcast clouds
Menongue,AO,-14.6585,17.691,65.93,51,10,1.81,clear sky
Starachowice,PL,51.0374,21.0713,56.39,88,100,7.0,overcast clouds
Nizwa,OM,22.9333,57.5333,87.51,30,98,7.23,overcast clouds
Kamaishi,JP,39.2667,141.8833,53.37,90,42,6.67,scattered clouds
Sanaur,IN,30.3025,76.4553,85.91,16,85,7.14,overcast clouds
Teahupoo,PF,-17.8333,-149.2667,69.76,74,78,4.07,light rain
Talca,CL,-35.4333,-71.6667,66.24,65,99,22.21,overcast clouds
Lata,PT,40.1629,-8.3327,61.81,61,87,7.11,overcast clouds
Mantua,IT,45.1667,10.7833,60.04,80,98,3.47,overcast clouds
Port Hardy,CA,50.6996,-127.4199,46.58,87,100,12.66,overcast clouds
Zhigansk,RU,66.7697,123.3711,0.77,99,26,6.06,scattered clouds
Pasinler,TR,39.9803,41.6764,58.19,43,51,2.04,broken clouds
Nola,IT,40.922,14.5329,66.38,46,58,5.99,broken clouds
Chalon-Sur-Saone,FR,46.7833,4.85,59.22,86,98,9.19,overcast clouds
Mahon,ES,39.8885,4.2658,66.76,48,20,6.91,few clouds
General Pico,AR,-35.6566,-63.7568,79.79,40,89,17.36,overcast clouds
Klaksvik,FO,62.2266,-6.589,45.52,84,100,18.01,overcast clouds
Uyuni,BO,-20.4597,-66.825,54.25,11,39,20.58,scattered clouds
Gazanjyk,TM,39.2446,55.5154,75.52,25,78,10.27,broken clouds
Murdochville,CA,48.9583,-65.5006,32.88,75,99,12.21,overcast clouds
Vrangel,RU,42.7297,133.0839,48.18,55,83,6.46,broken clouds
Senanga,ZM,-16.1167,23.2667,71.78,54,59,3.74,broken clouds
Teoloyucan,MX,19.7456,-99.1833,72.64,25,0,1.92,clear sky
Deputatskiy,RU,69.3,139.9,-1.26,100,100,1.05,overcast clouds
Khash,IR,28.2211,61.2158,74.1,25,74,3.71,broken clouds
Kruisfontein,ZA,-34.0033,24.7314,57.88,66,71,10.69,broken clouds
San Jeronimo,PE,-11.9472,-75.2829,62.42,47,93,1.14,overcast clouds
San Andres,CO,12.5847,-81.7006,82.42,78,40,11.5,scattered clouds
Nongan,CN,44.382,125.1685,51.69,35,25,7.43,scattered clouds
Kargalinskaya,RU,43.7417,46.4792,52.32,64,0,13.02,clear sky
Tagusao,PH,9.1924,117.8141,79.5,85,11,4.94,few clouds
Srednekolymsk,RU,67.45,153.6833,7.27,97,94,8.3,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,52.0,90,100,7.47,overcast clouds
Nyurba,RU,63.2842,118.3319,18.01,97,100,3.36,overcast clouds
Salihorsk,BY,52.7876,27.5415,46.06,82,77,5.59,broken clouds
Wenling,CN,28.3669,121.36,64.26,94,91,1.3,overcast clouds
Natal,BR,-5.795,-35.2094,84.42,79,75,14.97,broken clouds
Abu Samrah,SY,35.3029,37.1841,79.48,18,4,6.53,clear sky
Ambovombe,MG,-25.1667,46.0833,75.02,78,100,7.18,overcast clouds
Kroya,ID,-7.6331,109.2461,76.86,94,100,5.68,moderate rain
Castrillon,ES,43.3979,-6.7922,56.03,80,98,2.57,overcast clouds
Fasa,IR,28.9383,53.6482,78.04,19,20,9.22,few clouds
Aquiraz,BR,-3.9014,-38.3911,84.29,80,99,5.88,overcast clouds
Batesville,US,35.7698,-91.641,75.61,69,75,12.66,broken clouds
Jaisalmer,IN,26.9147,70.9181,94.17,13,2,9.75,clear sky
Thompson,CA,55.7435,-97.8558,15.96,62,40,18.41,scattered clouds
Mildura,AU,-34.2,142.15,57.16,77,100,6.91,overcast clouds
Sabaudia,IT,41.3003,13.0282,61.95,79,22,8.93,few clouds
Acevedo,CO,1.8361,-75.855,76.6,66,95,0.49,overcast clouds
Bonavista,CA,48.6499,-53.1147,35.37,96,100,27.63,moderate rain
Sovetskiy,RU,61.3614,63.5842,33.48,96,66,4.23,broken clouds
Kodinar,IN,20.7903,70.7031,83.55,54,0,13.69,clear sky
Tezu,IN,27.9167,96.1667,68.25,78,86,5.21,overcast clouds
Bogovarovo,RU,58.9785,47.0246,42.42,83,96,5.55,overcast clouds
Coihaique,CL,-45.5752,-72.0662,38.01,100,100,4.99,light rain
Manbij,SY,36.5281,37.9549,76.1,22,1,5.1,clear sky
Aklavik,CA,68.2191,-135.0107,23.0,74,0,2.3,clear sky
Shar,KZ,49.5886,81.0453,34.12,55,96,7.31,overcast clouds
Iqaluit,CA,63.7506,-68.5145,22.73,79,100,11.5,light snow
Ipixuna,BR,-1.7625,-48.8043,75.54,87,100,2.55,overcast clouds
Lasa,IT,46.6166,10.7002,49.08,95,100,2.19,overcast clouds
Airai,TL,-8.9266,125.4092,58.44,65,54,1.92,broken clouds
Rameswaram,IN,9.2833,79.3,85.44,74,69,9.93,broken clouds
Santa Lucia,ES,27.9117,-15.5407,60.94,60,20,6.91,few clouds
Puerto Ayacucho,VE,5.6639,-67.6236,93.24,48,50,0.54,scattered clouds
Amapa,BR,1.0,-52.0,83.77,68,82,5.14,broken clouds
Svetlogorsk,BY,52.6333,29.7333,48.83,78,93,5.57,overcast clouds
Barcelona,ES,41.3888,2.159,68.79,58,20,23.02,few clouds
Kamiiso,JP,41.8167,140.65,47.52,93,34,4.5,scattered clouds
Goundam,ML,16.4145,-3.6708,98.87,7,1,14.63,clear sky
Erenhot,CN,43.6475,111.9767,58.82,23,2,14.43,clear sky
